ParentRegion,Region,u_name,costPerWeek,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,safety,nature,hiking,beach,watersports,entertainment,wintersports,culture,culinary,architecture,shopping,popularity
South America,Colombia,COL,350,++,++,++,o,-,-,+,+,-,-,o,++,o,+,o,+,o,+,-,+,o,o,o,o
South America,Ecuador,ECU,350,-,-,-,o,o,+,++,++,++,o,-,-,o,+,+,o,o,-,--,o,o,o,o,+
South America,Peru,PER,350,-,-,-,o,+,++,++,++,+,o,-,-,-,++,+,-,-,-,--,++,+,-,o,+
South America,Bolivia,BOL,310,--,--,-,+,++,++,++,++,++,+,-,--,o,+,+,--,--,-,--,+,o,-,o,o
,,,,,,,,,,,,,,,,,,,,,,,,,,,
South America,Brazil,,625,,,,,,,,,,,,,-,,,,,,,,,,,
Brazil,Brazil North,BRA_NO,625,-,-,-,-,o,++,++,++,++,+,o,-,,o,-,-,--,--,--,-,o,-,-,o
Brazil,Brazil Northeast,BRA_NE,625,+,o,-,--,--,--,-,+,++,++,++,++,,o,-,+,+,o,--,+,o,o,o,o
Brazil,Brazil Central West,BRA_CW,625,-,-,-,o,+,++,++,++,+,o,-,-,,+,o,--,-,-,--,o,o,-,-,-
Brazil,Brazil Southeast,BRA_SE,625,-,-,o,+,++,++,++,++,+,o,-,-,,o,-,+,o,o,--,++,o,++,+,+
Brazil,Brazil South,BRA_SO,625,++,++,++,+,+,o,o,o,+,+,++,++,,-,-,o,-,o,--,o,o,-,-,o
,,,,,,,,,,,,,,,,,,,,,,,,,,,
South America,Chile North and Central,CHL_NC,400,+,++,++,++,+,o,o,o,++,++,++,+,+,+,o,--,-,o,--,+,o,o,o,o
South America,Paraguay,PRY,400,o,o,o,+,++,++,++,++,++,+,o,o,+,o,-,--,--,-,--,o,o,-,o,-
South America,Uruguay,URY,400,++,++,+,+,o,o,o,o,o,+,++,++,+,o,-,o,-,o,--,o,o,o,o,-
South America,Argentina,,400,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,Argentina North,ARG_NO,400,o,o,o,+,++,++,++,++,++,+,o,o,+,o,o,--,--,-,--,o,o,--,-,+
Argentina,Argentina Central,ARG_CE,400,-,o,+,++,++,+,o,o,+,++,++,o,+,o,-,-,-,-,-,+,o,+,o,+
South America,Patagonia,ARG_SO,625,++,++,+,-,--,--,--,--,--,-,o,++,+,+,++,--,o,--,-,o,-,--,--,+
South America,Antarctica and South Atlantic,ATA,4500,++,+,o,--,--,--,--,--,--,--,o,++,+,+,o,--,o,--,--,--,--,--,--,o
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,Maghreb,,,--,-,++,++,++,o,o,o,++,++,++,-,,,,,,,,,,,,
Maghreb,Morocco,MAR,390,,,,,,,,,,,,,o,+,o,o,o,+,--,++,+,+,+,o
Maghreb,Algeria,DZA,450,,,,,,,,,,,,,-,o,-,o,-,o,--,o,o,o,-,--
Maghreb,Tunisia,TUN,375,,,,,,,,,,,,,-,o,o,+,o,o,--,+,+,o,o,o
Maghreb,Libya,LBY,500,,,,,,,,,,,,,-,o,-,o,-,o,--,+,o,-,-,—
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,Egypt,EGY,415,-,o,++,++,++,o,-,o,++,++,++,o,o,o,-,+,++,+,--,++,o,+,o,+
Africa,Sahel West,MRT,415,++,+,-,--,--,--,-,o,o,+,+,++,-,o,-,-,--,-,--,+,o,-,-,--
Africa,Sahel East,TCD,415,++,++,o,-,--,--,-,-,-,o,+,++,--,o,--,--,--,-,--,+,o,-,--,--
Africa,West Africa,SEN,500,+,+,+,o,-,-,-,-,-,-,+,+,-,o,-,+,o,-,--,+,o,o,-,--
Africa,Central Africa,CAF,500,+,+,o,o,-,-,-,-,-,-,+,+,--,+,-,--,--,--,--,o,o,-,--,--
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa,East Africa,,350,++,++,++,+,o,-,-,-,-,o,+,++,,,,,,,,,,,,
East Africa,"Eritrea, Djibouti, Ethiopia",ERI,350,++,+,+,+,+,o,-,-,o,+,++,++,o,+,o,-,--,-,--,+,-,o,o,-
East Africa,Somalia,SOM,350,++,++,+,o,o,-,o,o,+,+,+,++,--,o,--,-,-,--,--,-,-,--,--,--
East Africa,Kenya,KEN,350,o,o,o,-,-,+,++,++,++,+,o,-,-,+,-,+,o,-,--,o,-,o,o,+
East Africa,Tanzania,TZA,350,-,-,-,o,+,++,++,++,+,+,o,o,o,+,-,+,o,-,--,o,-,-,o,o
